"scraped","itemId","title","cond","price","seller","sellerId"
"2022-09-22 08:48:36:632","B01GDJ2BH6","NADAMOO Wireless Barcode Scanner 328 Feet Transmission Distance USB Cordless 1D Laser Automatic Barcode Reader Handhold Bar Code Scanner with USB Receiver for Store, Supermarket, Warehouse",,,,
,,,"pinned","$34.99","NADAMOO","A28EEHCAH8E8GB"
