"scraped","itemId","title","cond","price","seller","sellerId"
"2022-09-22 07:21:17","B08L4SLBFN","LANGZHEN Unisex Baseball Cap 100% Cotton Fits Men Women Washed Denim Adjustable Dad Hat",,,,
,,,"pinned","$12.99","sz_hengerjia","A2T6CN46U5O839"
